category01;178;product001;149;Brand1901;Model124;2001;8497.00
category01;178;product002;157;Brand1200;Model199;2007;3202.00
category01;178;product003;106;Brand1598;Model103;2006;3487.00
category01;178;product004;148;Brand1285;Model194;2019;887.00
category01;178;product005;125;Brand1668;Model141;2012;5622.00
category01;178;product006;120;Brand1463;Model261;2007;2453.00
category01;178;product007;120;Brand1188;Model204;2028;2372.00
category01;178;product008;159;Brand1803;Model293;2009;2240.00
category01;178;product009;97;Brand1654;Model277;2000;6711.00
category01;178;product010;122;Brand1481;Model192;2024;7496.00
category01;178;product011;96;Brand1876;Model184;2001;9447.00
category01;178;product012;143;Brand1220;Model242;2049;1538.00
category01;178;product013;140;Brand1719;Model192;2045;1181.00
category01;178;product014;96;Brand1069;Model140;2025;4046.00
category01;178;product015;80;Brand1031;Model226;2014;6713.00
category01;178;product016;144;Brand1525;Model125;2024;8926.00
category01;178;product017;137;Brand1328;Model249;2018;8763.00
category01;178;product018;96;Brand1089;Model185;2047;4279.00
category01;178;product019;140;Brand1805;Model261;2018;2121.00
category01;178;product020;133;Brand1670;Model207;2009;266.00
category01;178;product021;116;Brand1109;Model260;2042;5045.00
category01;178;product022;146;Brand1132;Model137;2047;1098.00
category01;178;product023;117;Brand1704;Model174;2043;2342.00
category01;178;product024;90;Brand1982;Model136;2005;5953.00
category01;178;product025;128;Brand1519;Model154;2032;1744.00
category01;178;product026;99;Brand1925;Model256;2023;2209.00
category01;178;product027;134;Brand1832;Model113;2038;6941.00
category01;178;product028;92;Brand1665;Model191;2027;1752.00
category01;178;product029;110;Brand1233;Model133;2011;1879.00
category01;178;product030;109;Brand1576;Model287;2024;2757.00
category01;178;product031;106;Brand1041;Model197;2014;3820.00
category01;178;product032;113;Brand1026;Model260;2009;4334.00
category01;178;product033;159;Brand1467;Model117;2047;6543.00
category01;178;product034;107;Brand1549;Model197;2045;2386.00
category01;178;product035;90;Brand1017;Model270;2019;4699.00
category01;178;product036;141;Brand1226;Model191;2014;7296.00
category01;178;product037;80;Brand1894;Model142;2048;44.00
category01;178;product038;129;Brand1146;Model102;2014;6705.00
category01;178;product039;84;Brand1242;Model181;2034;6307.00
category01;178;product040;139;Brand1494;Model250;2045;1800.00
category01;178;product041;135;Brand1769;Model254;2039;5097.00
category01;178;product042;159;Brand1373;Model268;2040;2531.00
category01;178;product043;129;Brand1870;Model162;2033;1825.00
category01;178;product044;97;Brand1683;Model295;2022;1259.00
category01;178;product045;158;Brand1459;Model151;2021;5168.00
category01;178;product046;158;Brand1173;Model274;2042;9283.00
category01;178;product047;156;Brand1859;Model220;2024;3276.00
category01;178;product048;85;Brand1946;Model261;2028;2893.00
category01;178;product049;155;Brand1586;Model258;2038;754.00
category01;178;product050;139;Brand1859;Model252;2032;9790.00
category01;178;product051;142;Brand1604;Model183;2032;9569.00
category01;178;product052;147;Brand1010;Model282;2038;3710.00
category01;178;product053;83;Brand1169;Model112;2005;1677.00
category01;178;product054;135;Brand1607;Model132;2012;1638.00
category01;178;product055;114;Brand1731;Model177;2038;1566.00
category01;178;product056;93;Brand1768;Model275;2042;6410.00
category01;178;product057;95;Brand1776;Model212;2014;6378.00
category01;178;product058;126;Brand1226;Model197;2000;1278.00
category01;178;product059;92;Brand1809;Model134;2030;2645.00
category01;178;product060;101;Brand1439;Model133;2027;8790.00
category01;178;product061;86;Brand1396;Model101;2013;7359.00
category01;178;product062;136;Brand1973;Model270;2015;3363.00
category01;178;product063;89;Brand1051;Model207;2003;4517.00
category01;178;product064;102;Brand1302;Model246;2007;6652.00
category01;178;product065;115;Brand1077;Model260;2031;3156.00
category01;178;product066;86;Brand1573;Model131;2009;9489.00
category01;178;product067;101;Brand1699;Model125;2014;2947.00
category01;178;product068;106;Brand1373;Model202;2008;1160.00
category01;178;product069;87;Brand1855;Model157;2004;7328.00
category01;178;product070;120;Brand1115;Model252;2038;4870.00
category01;178;product071;126;Brand1047;Model105;2047;5175.00
category01;178;product072;150;Brand1581;Model231;2030;4360.00
category01;178;product073;126;Brand1922;Model140;2043;8139.00
category01;178;product074;140;Brand1541;Model294;2023;4392.00
category01;178;product075;127;Brand1107;Model202;2028;1957.00
category01;178;product076;119;Brand1150;Model183;2009;727.00
category01;178;product077;92;Brand1012;Model273;2047;9497.00
category01;178;product078;92;Brand1893;Model146;2001;2291.00
category01;178;product079;90;Brand1254;Model133;2023;9152.00
category01;178;product080;80;Brand1881;Model118;2011;9933.00
category01;178;product081;135;Brand1915;Model285;2043;6456.00
category01;178;product082;104;Brand1627;Model209;2047;1118.00
category01;178;product083;111;Brand1570;Model182;2040;8683.00
category01;178;product084;93;Brand1657;Model109;2007;5956.00
category01;178;product085;89;Brand1748;Model237;2003;3606.00
category01;178;product086;147;Brand1795;Model129;2040;1034.00
category01;178;product087;152;Brand1278;Model290;2037;405.00
category01;178;product088;121;Brand1293;Model245;2049;8848.00
category01;178;product089;135;Brand1813;Model265;2013;482.00
category01;178;product090;119;Brand1626;Model294;2043;1197.00
category01;178;product091;127;Brand1609;Model126;2046;1118.00
category01;178;product092;156;Brand1458;Model282;2008;6264.00
category01;178;product093;83;Brand1810;Model142;2032;7968.00
category01;178;product094;151;Brand1962;Model242;2035;1535.00
category01;178;product095;129;Brand1781;Model298;2018;8349.00
category01;178;product096;133;Brand1152;Model117;2043;985.00
category01;178;product097;125;Brand1138;Model293;2005;6425.00
category01;178;product098;149;Brand1939;Model282;2012;4254.00
category01;178;product099;147;Brand1735;Model184;2001;8663.00
category01;178;product100;109;Brand1800;Model211;2012;3721.00
category02;226;product001;146;Brand1322;Model231;2021;725.00
category02;226;product002;81;Brand1832;Model230;2026;6976.00
category02;226;product003;108;Brand1558;Model230;2037;5545.00
category02;226;product004;105;Brand1785;Model200;2043;5582.00
category02;226;product005;102;Brand1986;Model230;2046;6580.00
category02;226;product006;127;Brand1716;Model129;2040;451.00
category02;226;product007;112;Brand1232;Model185;2039;5509.00
category02;226;product008;131;Brand1908;Model147;2030;1914.00
category02;226;product009;114;Brand1566;Model178;2049;325.00
category02;226;product010;114;Brand1951;Model251;2013;4099.00
category02;226;product011;93;Brand1608;Model155;2024;5502.00
category02;226;product012;100;Brand1692;Model109;2030;6721.00
category02;226;product013;125;Brand1570;Model291;2017;2791.00
category02;226;product014;121;Brand1119;Model189;2019;184.00
category02;226;product015;156;Brand1855;Model116;2047;1710.00
category02;226;product016;125;Brand1592;Model191;2006;4233.00
category02;226;product017;118;Brand1329;Model250;2003;7981.00
category02;226;product018;109;Brand1960;Model112;2028;1236.00
category02;226;product019;115;Brand1771;Model244;2017;6917.00
category02;226;product020;155;Brand1132;Model154;2024;2887.00
category02;226;product021;143;Brand1776;Model182;2036;7496.00
category02;226;product022;133;Brand1496;Model265;2030;928.00
category02;226;product023;101;Brand1956;Model150;2004;7440.00
category02;226;product024;125;Brand1908;Model107;2019;3790.00
category02;226;product025;114;Brand1532;Model237;2027;4980.00
category02;226;product026;124;Brand1749;Model129;2049;3547.00
category02;226;product027;125;Brand1742;Model275;2005;410.00
category02;226;product028;135;Brand1106;Model205;2013;7286.00
category02;226;product029;153;Brand1453;Model253;2020;1026.00
category02;226;product030;135;Brand1775;Model155;2015;7414.00
category02;226;product031;83;Brand1111;Model141;2020;1997.00
category02;226;product032;96;Brand1376;Model271;2027;4867.00
